SIO2(WT%),MGO(WT%)
69.61,0.3
70.83,0.19
72,0.42
70.4,0.27
71.38,0.7
70.06,0.97
74.83,0.27
72.99,0.31
74.61,0.21
72.44,0.14
72.23,0.46
71.95,0.31
72.93,0.52
68.37,0.98
71.52,0.91
69.93,0.87
70.36,0.92
69.78,0.98
69.84,0.81
71.31,0.7
70.69,0.75
69.95,0.6
70.36,0.59
70.49,0.61
70.03,0.57
70.4,0.48
70.7,0.5
72.8,0.55
70.3,0.7
70.9,0.48
70.8,0.53
68.2,0.58
70.1,0.61
69.7,0.7
70.3,0.6
70.2,0.71
71.4,0.66
69.6,0.71
69.8,0.53
69.2,0.76
69,0.7
69.1,0.53
68.1,0.71
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
78.4,0.14
78.3,0.09
71.88,0.22
70.31,0.44
65.2,1.66
69.74,2.56
,
,
75.03,0.33
72.88,0.63
74.98,0.32
70.97,0.75
69.32,1.51
72.7699966430664,0.170000001788139
73,0.37
71.33,0.66
,
,
,
,
64.88,1.28
54.12,0.17
,
73.63,0.16
65.92,0.64
75.58,0.35
73.94,0.23
75.23,0.3
74.81,0.32
71.93,0.7
76.78,0.05
74.46,0.2
71.94,0.67
74.1,0.31
73.04,1.92
70.93,0.05
71.2,0.36
72.44,0.12
73.32,0.23
75.16,0.05
69.85,0.1
74.82,0.16
,
,
,
,
,
72.19,0.87
72.71,0.78
74.71,0.57
71.52,0.34
69.09,0.83
75.2,0.39
64.33,0.98
71.76,0.47
71.92,0.3
74.65,0.64
64.52,1.1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
68.03,1.34
68.08,1.32
68.42,1.12
68.87,1.15
69.37,0.98
70.66,0.78
71.34,0.67
71.4,0.66
72.02,0.47
72.99,0.38
75.17,0.1
76.27,0.19
71.45,0.83
,
,
,
,
72.59,0.61
72.84,0.27
74.01,0.2
74.78,0.05
,
73,0.17
,
,
,
,
,
71.1,0.48
71.61,0.66
69.8,0.79
62.4,1.69
70.63,0.57
68.94,0.99
71,0.33
69.56,0.81
,
,
,
,
,
70.11,0.36
70.44,0.3
71.04,0.16
71.89,1.91
72.63,0.09
76.66,0.32
,
,
,
,
,
,
73.63,0.16
74.21,0.08
76.74,0.05
,
,
,
,
,
,
,
,
,
70.84,0.82
,
72.89,0.57
75.25,0.08
69.14,0.35
,
,
,
,
75.4,0.11
72.35,0.31
